15
0	0	0
0	1	481
0	2	188
0	3	984
0	4	897
0	5	662
0	6	458
0	7	558
0	8	637
0	9	338
0	10	18
0	11	524
0	12	16
0	13	799
0	14	315
1	0	968
1	1	0
1	2	326
1	3	539
1	4	669
1	5	600
1	6	787
1	7	19
1	8	742
1	9	46
1	10	70
1	11	117
1	12	148
1	13	66
1	14	139
2	0	514
2	1	10
2	2	0
2	3	102
2	4	822
2	5	309
2	6	7
2	7	172
2	8	552
2	9	631
2	10	88
2	11	799
2	12	51
2	13	111
2	14	300
3	0	371
3	1	343
3	2	636
3	3	0
3	4	365
3	5	34
3	6	381
3	7	950
3	8	508
3	9	4
3	10	725
3	11	286
3	12	741
3	13	944
3	14	188
4	0	425
4	1	287
4	2	902
4	3	75
4	4	0
4	5	275
4	6	55
4	7	147
4	8	693
4	9	292
4	10	136
4	11	119
4	12	53
4	13	878
4	14	79
5	0	617
5	1	338
5	2	149
5	3	326
5	4	340
5	5	0
5	6	490
5	7	345
5	8	538
5	9	796
5	10	479
5	11	499
5	12	705
5	13	686
5	14	203
6	0	876
6	1	898
6	2	847
6	3	674
6	4	153
6	5	199
6	6	0
6	7	940
6	8	151
6	9	235
6	10	875
6	11	167
6	12	119
6	13	133
6	14	140
7	0	433
7	1	589
7	2	320
7	3	898
7	4	528
7	5	998
7	6	554
7	7	0
7	8	734
7	9	111
7	10	123
7	11	260
7	12	998
7	13	497
7	14	788
8	0	137
8	1	299
8	2	517
8	3	843
8	4	852
8	5	846
8	6	994
8	7	819
8	8	0
8	9	334
8	10	98
8	11	714
8	12	931
8	13	403
8	14	906
9	0	128
9	1	592
9	2	220
9	3	870
9	4	377
9	5	403
9	6	294
9	7	940
9	8	688
9	9	0
9	10	678
9	11	621
9	12	415
9	13	588
9	14	908
10	0	838
10	1	316
10	2	916
10	3	206
10	4	157
10	5	822
10	6	58
10	7	730
10	8	243
10	9	864
10	10	0
10	11	437
10	12	232
10	13	134
10	14	190
11	0	800
11	1	415
11	2	741
11	3	243
11	4	489
11	5	528
11	6	499
11	7	938
11	8	503
11	9	665
11	10	217
11	11	0
11	12	30
11	13	813
11	14	581
12	0	277
12	1	58
12	2	105
12	3	442
12	4	883
12	5	33
12	6	847
12	7	819
12	8	193
12	9	900
12	10	325
12	11	401
12	12	0
12	13	828
12	14	516
13	0	99
13	1	367
13	2	412
13	3	344
13	4	150
13	5	93
13	6	510
13	7	332
13	8	817
13	9	862
13	10	607
13	11	449
13	12	545
13	13	0
13	14	591
14	0	492
14	1	188
14	2	354
14	3	109
14	4	769
14	5	939
14	6	877
14	7	437
14	8	10
14	9	491
14	10	843
14	11	617
14	12	474
14	13	107
14	14	0
